"skill_id","skills","demand_count","avg_salary"
0,"sql","3083","96435"
181,"excel","2143","86419"
1,"python","1840","101512"
182,"tableau","1659","97978"
5,"r","1073","98708"
183,"power bi","1044","92324"
188,"word","527","82941"
196,"powerpoint","524","88316"
186,"sas","500","93707"
7,"sas","500","93707"
61,"sql server","336","96191"
79,"oracle","332","100964"
74,"azure","319","105400"
76,"aws","291","106440"
8,"go","288","97267"
215,"flow","271","98020"
185,"looker","260","103855"
80,"snowflake","241","111578"
199,"spss","212","85293"
92,"spark","187","113002"
22,"vba","185","93845"
189,"sap","183","92446"
198,"outlook","180","80680"
195,"sharepoint","174","89027"
192,"sheets","155","84130"
9,"javascript","153","91805"
233,"jira","145","107931"
97,"hadoop","140","110888"
4,"java","135","100214"
197,"ssrs","129","91537"
201,"alteryx","124","105580"
2,"nosql","108","108331"
75,"databricks","102","112881"
194,"ssis","102","97235"
187,"qlik","100","100933"
190,"spreadsheet","100","78466"
204,"visio","99","101036"
141,"express","96","108221"
93,"pandas","90","110767"
78,"redshift","90","107969"
15,"matlab","89","99909"
26,"c","89","98715"
77,"bigquery","84","105238"
170,"windows","80","86513"
81,"gcp","78","113065"
23,"crystal","76","87327"
184,"dax","75","99549"
210,"git","74","112250"
96,"airflow","71","116387"
56,"mysql","71","101381"
14,"c#","71","97248"
13,"c++","68","105696"
200,"cognos","66","90407"
202,"ms access","65","84873"
234,"confluence","62","114153"
16,"t-sql","60","95723"
3,"scala","59","115480"
216,"github","59","101498"
169,"linux","58","114883"
10,"html","55","84383"
94,"numpy","54","107398"
95,"pyspark","49","114058"
226,"terminal","46","83567"
6,"shell","44","111496"
57,"postgresql","44","106853"
98,"kafka","40","129999"
191,"microstrategy","39","94486"
21,"visual basic","39","86972"
67,"db2","38","107130"
168,"unix","37","111123"
102,"jupyter","37","103522"
105,"gdpr","33","105329"
20,"powershell","32","105041"
108,"matplotlib","31","99307"
11,"css","30","85317"
25,"php","29","109052"
214,"docker","28","99262"
18,"mongodb","26","113608"
62,"mongodb","26","113608"
106,"scikit-learn","26","103932"
213,"kubernetes","26","103089"
112,"plotly","25","106603"
99,"tensorflow","24","120647"
236,"smartsheet","24","71221"
137,"phoenix","23","109259"
104,"spring","22","97454"
211,"jenkins","21","101419"
101,"pytorch","20","125226"
31,"perl","20","124686"
32,"assembly","20","85390"
12,"bash","19","105075"
248,"zoom","19","89791"
110,"react","16","88567"
219,"atlassian","15","117966"
193,"splunk","15","112928"
249,"microsoft teams","15","85570"
247,"slack","15","83442"
235,"planner","15","77039"
58,"neo4j","12","108646"
59,"elasticsearch","12","107816"
136,"angular","12","102103"
120,"seaborn","12","98748"
63,"cassandra","11","118407"
